index,age_5yr,G_t,Wealth,Consumption,Hours
0,15-19,7.980175427,0,7640.37536,1648.8
1,15-19,7.980175427,0,7640.37536,1648.8
2,15-19,7.980175427,0,7640.37536,1648.8
3,15-19,7.980175427,0,7640.37536,1648.8
4,15-19,7.980175427,0,7640.37536,1648.8
5,20-24,8.510185496,1905.135135,19905.31593,3816
6,20-24,8.510185496,1905.135135,19905.31593,3816
7,20-24,8.510185496,1905.135135,19905.31593,3816
8,20-24,8.510185496,1905.135135,19905.31593,3816
9,20-24,8.510185496,1905.135135,19905.31593,3816
10,25-29,78.59962893,1321.55102,20854.5332,3916.444898
11,25-29,78.59962893,1321.55102,20854.5332,3916.444898
12,25-29,78.59962893,1321.55102,20854.5332,3916.444898
13,25-29,78.59962893,1321.55102,20854.5332,3916.444898
14,25-29,78.59962893,1321.55102,20854.5332,3916.444898
15,30-34,80.3889303,1954.59129,24874.5515,4167.802345
16,30-34,80.3889303,1954.59129,24874.5515,4167.802345
17,30-34,80.3889303,1954.59129,24874.5515,4167.802345
18,30-34,80.3889303,1954.59129,24874.5515,4167.802345
19,30-34,80.3889303,1954.59129,24874.5515,4167.802345
20,35-39,153.3431139,3067.078864,27420.48581,4271.3796
21,35-39,153.3431139,3067.078864,27420.48581,4271.3796
22,35-39,153.3431139,3067.078864,27420.48581,4271.3796
23,35-39,153.3431139,3067.078864,27420.48581,4271.3796
24,35-39,153.3431139,3067.078864,27420.48581,4271.3796
25,40-44,177.1862902,3200.217317,30654.03526,4434.126486
26,40-44,177.1862902,3200.217317,30654.03526,4434.126486
27,40-44,177.1862902,3200.217317,30654.03526,4434.126486
28,40-44,177.1862902,3200.217317,30654.03526,4434.126486
29,40-44,177.1862902,3200.217317,30654.03526,4434.126486
30,45-49,157.3860069,2353.613285,32917.01942,4180.133758
31,45-49,157.3860069,2353.613285,32917.01942,4180.133758
32,45-49,157.3860069,2353.613285,32917.01942,4180.133758
33,45-49,157.3860069,2353.613285,32917.01942,4180.133758
34,45-49,157.3860069,2353.613285,32917.01942,4180.133758
35,50-54,118.3539171,2198.601307,36484.65827,4120.099129
36,50-54,118.3539171,2198.601307,36484.65827,4120.099129
37,50-54,118.3539171,2198.601307,36484.65827,4120.099129
38,50-54,118.3539171,2198.601307,36484.65827,4120.099129
39,50-54,118.3539171,2198.601307,36484.65827,4120.099129
40,55-59,120.0130657,5341.731066,32735.94436,3948.202473
41,55-59,120.0130657,5341.731066,32735.94436,3948.202473
42,55-59,120.0130657,5341.731066,32735.94436,3948.202473
43,55-59,120.0130657,5341.731066,32735.94436,3948.202473
44,55-59,120.0130657,5341.731066,32735.94436,3948.202473
45,60-64,119.7412838,2963.723192,31858.16764,3998.86783
46,60-64,119.7412838,2963.723192,31858.16764,3998.86783
47,60-64,119.7412838,2963.723192,31858.16764,3998.86783
48,60-64,119.7412838,2963.723192,31858.16764,3998.86783
49,60-64,119.7412838,2963.723192,31858.16764,3998.86783
50,65-69,91.8129231,1968.395349,29009.56846,3891.023256
51,65-69,91.8129231,1968.395349,29009.56846,3891.023256
52,65-69,91.8129231,1968.395349,29009.56846,3891.023256
53,65-69,91.8129231,1968.395349,29009.56846,3891.023256
54,65-69,91.8129231,1968.395349,29009.56846,3891.023256
55,70-74,45.53669831,2588.915663,24395.62098,3416.570281
56,70-74,45.53669831,2588.915663,24395.62098,3416.570281
57,70-74,45.53669831,2588.915663,24395.62098,3416.570281
58,70-74,45.53669831,2588.915663,24395.62098,3416.570281
59,70-74,45.53669831,2588.915663,24395.62098,3416.570281
60,75-79,84.75661628,475.6284153,25796.49149,3224.387978
61,75-79,84.75661628,475.6284153,25796.49149,3224.387978
62,75-79,84.75661628,475.6284153,25796.49149,3224.387978
63,75-79,84.75661628,475.6284153,25796.49149,3224.387978
64,75-79,84.75661628,475.6284153,25796.49149,3224.387978
65,80-84,69.91919511,445.505618,25163.76576,3383.88764
66,80-84,69.91919511,445.505618,25163.76576,3383.88764
67,80-84,69.91919511,445.505618,25163.76576,3383.88764
68,80-84,69.91919511,445.505618,25163.76576,3383.88764
69,80-84,69.91919511,445.505618,25163.76576,3383.88764
70,85-89,59.5936127,1014.285714,25392.8264,2935.678571
71,85-89,59.5936127,1014.285714,25392.8264,2935.678571
72,85-89,59.5936127,1014.285714,25392.8264,2935.678571
73,85-89,59.5936127,1014.285714,25392.8264,2935.678571
74,85-89,59.5936127,1014.285714,25392.8264,2935.678571
75,90-94,19.03918881,55.55555556,21404.71533,2331.777778
76,90-94,19.03918881,55.55555556,21404.71533,2331.777778
77,90-94,19.03918881,55.55555556,21404.71533,2331.777778
78,90-94,19.03918881,55.55555556,21404.71533,2331.777778
79,90-94,19.03918881,55.55555556,21404.71533,2331.777778
80,95-99,196.9441545,0,45857.20975,3358
81,95-99,196.9441545,0,45857.20975,3358
82,95-99,196.9441545,0,45857.20975,3358
83,95-99,196.9441545,0,45857.20975,3358
84,95-99,196.9441545,0,45857.20975,3358
